Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ff_avg
21-04-2024,26.00,33.00,29.60,76.00,0.00,2.30,4.00,1.00
22-04-2024,27.40,34.00,30.90,73.00,0.00,2.50,4.00,1.00
23-04-2024,28.00,32.80,29.80,77.00,0.00,7.00,6.00,1.00
24-04-2024,27.40,34.40,30.00,78.00,0.00,3.50,6.00,1.00
25-04-2024,25.60,32.00,29.00,81.00,13.00,1.00,3.00,1.00
26-04-2024,26.40,34.40,30.20,77.00,0.40,0.00,5.00,1.00
27-04-2024,27.40,34.40,29.50,78.00,0.00,7.00,3.00,1.00
28-04-2024,26.20,33.60,30.20,78.00,2.00,5.50,6.00,1.00
29-04-2024,26.80,35.00,31.30,74.00,0.00,2.70,5.00,2.00
30-04-2024,28.00,34.40,31.00,74.00,0.00,6.80,4.00,1.00
01-05-2024,28.00,33.00,30.40,76.00,0.00,5.60,4.00,1.00
02-05-2024,28.00,32.80,31.30,72.00,0.00,0.60,6.00,1.00
03-05-2024,27.00,33.80,30.70,73.00,0.00,2.80,7.00,2.00
04-05-2024,28.00,34.00,30.30,70.00,0.00,6.20,6.00,1.00
05-05-2024,27.40,34.60,30.80,71.00,0.00,5.00,6.00,1.00
06-05-2024,27.00,33.40,30.50,68.00,0.00,5.80,3.00,0.00
07-05-2024,28.00,35.00,31.00,68.00,0.00,3.70,2.00,1.00
08-05-2024,28.00,34.20,30.50,71.00,0.00,6.50,3.00,1.00
09-05-2024,27.00,35.20,30.60,73.00,0.00,4.20,3.00,1.00
10-05-2024,27.80,34.60,30.90,73.00,0.00,6.00,3.00,1.00
11-05-2024,28.00,36.60,31.10,71.00,0.00,7.00,5.00,2.00
12-05-2024,28.00,35.00,31.00,70.00,0.00,5.50,4.00,2.00
13-05-2024,28.00,34.80,30.90,72.00,0.00,5.70,4.00,1.00
14-05-2024,28.00,32.40,28.50,84.00,0.00,6.00,4.00,1.00
15-05-2024,27.00,34.00,30.70,71.00,28.50,0.00,4.00,1.00
16-05-2024,26.47,34.20,30.40,73.00,0.00,4.50,5.00,1.00
17-05-2024,26.47,34.60,30.40,70.00,0.00,5.50,3.00,1.00
18-05-2024,27.40,34.80,30.60,69.00,0.00,4.50,4.00,1.00
19-05-2024,27.00,33.20,30.30,70.00,0.00,4.50,4.00,1.00
20-05-2024,27.40,34.40,30.60,68.00,0.00,6.50,2.00,1.00
21-05-2024,27.40,33.00,30.50,70.00,0.00,3.40,6.00,1.00
22-05-2024,28.00,33.80,30.60,72.00,0.00,5.20,5.00,2.00
23-05-2024,28.00,32.00,28.90,81.00,0.00,3.20,5.00,1.00
24-05-2024,26.00,33.40,29.30,78.00,0.00,0.00,3.00,1.00
25-05-2024,26.60,33.00,27.20,86.00,3.50,4.00,3.00,1.00
26-05-2024,26.40,33.00,29.50,77.00,2.10,0.00,4.00,1.00
27-05-2024,26.80,35.60,31.00,70.00,0.00,0.40,4.00,1.00
28-05-2024,27.00,34.00,30.70,74.00,0.00,6.00,9.00,2.00
29-05-2024,28.00,34.20,30.80,73.00,0.00,6.40,3.00,1.00
30-05-2024,28.00,33.40,31.40,70.00,0.00,4.40,2.00,1.00
31-05-2024,26.47,32.80,29.30,77.61,0.00,3.73,1.00,1.00
